第三节利用成果
20世纪80年代，域内档案信息资源开发利用工作逐步开展。1997 年，山东省档案局发布了《山东省开发利用档案信息资源成果奖管理办 法》，2001年，又发布了《山东省开发利用档案信息资源成果奖励办 法》，提升了各地开发利用档案信息资源的热情。到2009年底，日照市各 级档案部门共向山东省档案局申报开发利用档案信息资源项目1200余项， 其中450余项获奖，既创造了巨大的经济效益，也产生了良好的社会效 益。
2001 _ 2008年获山东省开发利用档案信息资源成果奖目录 表5 — 4			
获奖 年度	获奖 等级	获奖单位	获奖成果名称
2001 年	一等奖	日照市国土资源局	日照市利用档案信息资源盘活城区闲 置低效土地成果
2001 年	二等奖	山东日照发电厂	企业档案工作目标管理纪实专题片 (多媒体）
2001 年	三等奖	日照市公路管理局	利用科技档案进行第二次全国公路普查
2001 年	三等奖	日照港务局通信信息中心	利用科技档案完成敷设《计算机主干 网络光缆线路》
2001 年	三等奖	日照港务局第一装卸公司	利用科技档案完成翻车机大修
2001 年	三等奖	日照港务局第一装卸公司	利用科技档案压缩物资库存成本
2001 年	三等奖	山东日照发电厂	山东日照发电厂组织沿革和人事管理 制度汇编
2002 年	一等奖	日照市公路管理局	充分利用各种门类档案，成功创建 204国道日照段部级文明样板路
2002 年	二等奖	日照市档案局	利用馆藏照片档案，有效推动日照精 神文明和经济建设
2002 年	二等奖	日照市国土资源局	日照土地资源资产与管理研究
