续表			
获奖 年度	获奖 等级	获奖单位	获奖成果名称
2008 年	二等奖	日照市档案局	纪念改革开放30周年家庭档案展
2008 年	二等奖	日照市档案局	日照市纪念改革开放30周年大型图片展
2008 年	二等奖	日照市档案局	提供馆藏档案资料，拍摄电视纪录片 《日照东方》
2008 年	二等奖	日照市档案局	利用馆藏档案，建立人名数据库
2008 年	二等奖	山东省日照师范	开发利用档案信息资源，编研日照师 范学校史
2008 年	二等奖	日照市公路局	充分利用科技档案，确定日照水源 地——日兰高速公路日照水库大桥防 护措施研究方案
2008 年	二等奖	华能电厂	《光明颂》专题片
2008 年	二等奖	日照市岚山区公路局	充分利用档案信息资源，建设优质公 路改造工程
2008 年	二等奖	日照市高速公路路政大 队	利用路政档案制止高速公路两侧非法 建筑的建设
2008 年	二等奖	日照市城市建设档案馆	日照市城市地下管线档案信息动态管 理系统
2008 年	二等奖	日照市烟草专卖局(公司）	利用档案信息，编纂日照烟草志
2008 年	二等奖	莒县公路局	利用档案信息研发旧浙青路面冷再生 技术应用
2008 年	二等奖	莒县民政局	莒县民政志
2008 年	二等奖	莒县青峰岭水库管理处	开发利用档案资源，优化水库除险加 固技术方案研究报告
2008 年	二等奖	莒县城阳镇政府	城阳镇志
2008 年	二等奖	五莲县民政局	利用婚姻登记管理信息系统为民服务
2008 年	二等奖	五莲县人民医院	开发利用档案信息资源，全面提升地 方病防治科研成效
2008 年	二等奖	五莲县人民医院	开发利用档案信息资源，提升医疗科 研水平
