最早的成果要追溯到1985年，日照市档案局王崇今等人在实际工作中 不断探索，编制出具有简便可行、适用广泛、检索迅速、准确可靠等优点 的检索工具《分级文件目录》，曾被作为一项成果在临沂地区推广。
1989 — 2008年日照市档案学术研究主要获奖成果一览表 表6 — 1		
项 目	完成者	获奖情况
《谈〈分级文件目录〉可行性》，1989 年	日照市档案局孙玉生	临沂地区档案学 优秀成果三等奖
《莒县档案馆指南》，1990年	莒县档案局单纪敏、崔安 信、孟广济、薛伯会、刘 苏	临沂地区档案史 料编研成果二等 奖
〈档案分级文件目录》，1990年	莒县档案局孟广济、徐德 玉、刘苏	临沂地区档案局 科研成果二等奖
《论科技档案在经济建设中的作 用>,1995年	莒县档案局宋君	日照市优秀科技 论文一等奖
《浅谈加强社会主义市场经济条件下 的档案工作>，《山东档案>，1996年	曰照市档案局凌福和	山东省档案学会 优秀成果二等奖
《如何把档案馆办成文明服务的窗 口>， 1997 年	莒县档案局王云鸿	山东省档案学会 优秀论文三等奖
“对声像档案的管理研究与实际应 用”课题，1998年	莒县档案局宋君、杨全 文、崔光华、王同迎	日照市科技成果 进步二等奖
《浅议电子文件信息标准化》， 《档案学通讯》，2002年	日照市档案局田伟	日照市第二届社 科成果三等奖
《拓展档案馆社会功能，有效服务 各项事业建设>,2006年	日照市档案局张传满、徐 田霞	山东省档案学会 优秀论文一等奖
《追寻亿吨港历程展现二十年成 就》，2007年	日照港(集团）有限公司档案 馆车玉芹、李然、宋礼云、 秦晓	山东省档案学会 优秀成果一等奖
《区域数字文档集约化管理与应用 研究>,2008年	日照市档案局梁作芹、朱 世国、付海军、田伟、张静	国家档案局优秀 科技成果三等奖
《百年日照——日照市档案馆馆藏 珍贵照片集锦>，2008年	日照市档案局梁作芹、朱 世国、孙玉生、佘峰、张传鹏	山东省档案学会 优秀成果一等奖
