2005年经日照市人民政府批准，日照市财政拨付专项资金建设日照市 档案馆综合楼，当年实际完成投资370万元，2006年实际完成投资1100 万元，2007年实际完成投资344万元。
1963 — 2008年日照市及各区县档案局（馆）档案事业经费一览表 表 7 — 14							
t 金额 年度'\ (万元1	档案局（馆）						
	合计	日照市 (县）	东港区	莒县	五莲	岚山	日照经济开发区
1963		1.3					
1987		2.4					
1988		1.3					
1989		1.5					
1990		7					
1991		5					
1992		2					
1993	4	2		0.7	0.4		
1994	0.9			0.5	0.4		
1995	4	3		1			
1996	4	1		2	1		
1997	1.4			1	0.4		
1998	4	2	0.2	1	0.8		
1999	1.25			1	0.25		
2000	8.3	1		1			
2001	6						
2002	1						
2003	5.4	4.2		1.2			
2004	7.7	6		1.2	0.5		
2005	14.4	12.9		1	0.5		
2006	15.1	13.6		1	0.5		
2007	31	18	3	1	5	2	2
2008	35.7	20	3	6.2	1.5		5
(注：以上数据均来自历年《日照市（县）档案事业统计年报》。）							
